Time,L_Notes,L_Thumb,L_Fingers,R_Notes,R_Thumb,R_Fingers
0.0,C4,22,2,,,
1.0,C4,22,2,,,
2.0,,,,G4,24,4
3.0,,,,G4,24,4
4.0,,,,A4,24,5
5.0,,,,A4,24,5
6.0,,,,G4,24,4
8.0,F4,22,5,,,
9.0,F4,22,5,,,
10.0,E4,22,4,,,
11.0,E4,22,4,,,
12.0,D4,22,3,,,
13.0,D4,22,3,,,
14.0,C4,22,2,,,
16.0,,,,G4,24,4
17.0,,,,G4,24,4
18.0,F4,22,5,,,
19.0,F4,22,5,,,
20.0,E4,22,4,,,
21.0,E4,22,4,,,
22.0,D4,22,3,,,
24.0,,,,G4,24,4
25.0,,,,G4,24,4
26.0,F4,22,5,,,
27.0,F4,22,5,,,
28.0,E4,22,4,,,
29.0,E4,22,4,,,
30.0,D4,22,3,,,
32.0,C4,22,2,,,
33.0,C4,22,2,,,
34.0,,,,G4,24,4
35.0,,,,G4,24,4
36.0,,,,A4,24,5
37.0,,,,A4,24,5
38.0,,,,G4,24,4
40.0,F4,22,5,,,
41.0,F4,22,5,,,
42.0,E4,22,4,,,
43.0,E4,22,4,,,
44.0,D4,22,3,,,
45.0,D4,22,3,,,
46.0,C4,22,2,,,
