Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,,,,,,F4;F5,27,1;5,splay_thumb;splay_pinky,1s-1;5s+2
1.5,,,,,,E4;E5,27,1;5,splay_thumb;splay_pinky,1s-2;5s+1
2.0,,,,,,E4;E5,27,1;5,splay_thumb;splay_pinky,1s-2;5s+1
3.0,,,,,,E4;E5,27,1;5,splay_thumb;splay_pinky,1s-2;5s+1
3.5,,,,,,F5,27,5,splay_pinky,5s+2
4.0,,,,,,G5;F4,28,5;1,splay_pinky;splay_thumb,5s+2;1s-2
4.75,,,,,,C4,23,1,normal,1
5.0,,,,,,C4,23,1,normal,1
5.5,,,,,,F4;F5,28,1;5,splay_thumb;splay_pinky,1s-2;5s+1
6.0,,,,,,F4;F5,28,1;5,splay_thumb;splay_pinky,1s-2;5s+1
7.0,,,,,,D5,28,4,normal,4
7.5,,,,,,E5,28,5,normal,5
8.0,,,,,,A#4;F5,28,1;5,black_key_outer;splay_pinky,1b+;5s+1
8.5,,,,,,D5,28,4,normal,4
9.0,,,,,,A#4;A#3;D4,23,5;1;2,splay_pinky;splay_thumb;normal,5s+1;1s-2;2
9.5,,,,,,F5,28,5,splay_pinky,5s+1
10.0,,,,,,C5;G5,29,2;5,normal;splay_pinky,2;5s+1
10.5,,,,,,E5,29,4,normal,4
11.0,,,,,,E4;C5;C4,24,2;5;1,normal;splay_pinky;splay_thumb,2;5s+2;1s-1
11.5,,,,,,E5,29,4,normal,4
12.0,,,,,,A#4;F5,29,1;5,splay_thumb;normal,1s-1;5
12.5,,,,,,C#5,27,4,black_key_inner,4b-
13.0,,,,,,G4;A#4;C#4,24,4;5;1,normal;black_key_outer;splay_thumb,4;5b-;1s-1
13.5,,,,,,C#5,29,2,black_key_inner,2b+
14.0,,,,,,C5;F5,29,2;5,normal;normal,2;5
16.0,,,,,,C5;E5,29,2;4,normal;normal,2;4
17.5,,,,,,A4,26,3,normal,3
17.75,,,,,,C5,26,5,normal,5
18.0,,,,,,C5,26,5,normal,5
18.5,,,,,,C4,23,1,normal,1
19.0,,,,,,F4,23,4,normal,4
19.5,,,,,,A4,25,4,normal,4
20.0,,,,,,A4;F4,25,4;2,normal;normal,4;2
21.5,,,,,,A4,25,4,normal,4
21.75,,,,,,C5,25,5,splay_pinky,5s+1
22.0,,,,,,C#5,25,5,splay_pinky,5s+1
22.5,,,,,,E3,20,1,splay_thumb,1s-2
22.75,,,,,,D5,25,5,splay_pinky,5s+2
23.0,,,,,,E5,27,5,splay_pinky,5s+1
23.5,,,,,,C#4;E4,24,1;2,splay_thumb;normal,1s-1;2
23.75,,,,,,A4,27,2,normal,2
24.0,,,,,,A#5,29,5,splay_pinky,5s+2
24.75,,,,,,A5,30,5,splay_pinky,5s+1
25.0,,,,,,G5,28,5,splay_pinky,5s+2
25.75,,,,,,E5,28,5,normal,5
26.0,,,,,,F5,28,5,splay_pinky,5s+1
26.5,,,,,,A3,23,1,splay_thumb,1s-2
27.0,,,,,,D4,23,2,normal,2
27.5,,,,,,F4;A4,26,1;3,normal;normal,1;3
28.0,,,,,,F5;F4;A4,27,5;1;2,splay_pinky;splay_thumb;normal,5s+2;1s-1;2
29.5,,,,,,F5,27,5,splay_pinky,5s+2
29.75,,,,,,F5,27,5,splay_pinky,5s+2
30.0,,,,,,E5,26,5,splay_pinky,5s+2
30.5,,,,,,E3,20,1,splay_thumb,1s-2
30.75,,,,,,D5,25,5,splay_pinky,5s+2
31.0,,,,,,C5;C4,25,5;1,splay_pinky;splay_thumb,5s+1;1s-2
31.5,,,,,,E4,25,1,normal,1
31.75,,,,,,A4,25,4,normal,4
32.0,,,,,,D5;E4,25,5;1,splay_pinky;normal,5s+2;1
32.75,,,,,,C5,26,5,normal,5
33.0,,,,,,C5,26,5,normal,5
33.75,,,,,,A#4,26,3,black_key_inner,3b-
34.0,,,,,,C5,26,5,normal,5
34.5,,,,,,F3,21,1,splay_thumb,1s-2
35.0,,,,,,C4,21,3,normal,3
35.5,,,,,,D4;F4,24,1;3,normal;normal,1;3
36.0,,,,,,C5;D4;F4,24,5;1;3,splay_pinky;normal;normal,5s+2;1;3
37.5,,,,,,C5,26,5,normal,5
37.75,,,,,,A4,25,4,normal,4
38.0,,,,,,A#4,25,4,black_key_inner,4b-
38.5,,,,,,F3,21,1,splay_thumb,1s-2
38.75,,,,,,A4,23,5,splay_pinky,5s+1
39.0,,,,,,C#4;G4,23,1;5,black_key_outer;normal,1b+;5
39.5,,,,,,G3,20,1,normal,1
39.75,,,,,,F4,22,5,normal,5
40.0,,,,,,C#4;A#3,20,4;2,black_key_inner;black_key_inner,4b-;2b+
40.75,,,,,,G4,23,5,normal,5
41.0,,,,,,G4,23,5,normal,5
41.75,,,,,,F4,23,4,normal,4
42.0,,,,,,A#3;D4;A4,23,1;2;5,splay_thumb;normal;splay_pinky,1s-2;2;5s+1
42.5,,,,,,D3,19,1,splay_thumb,1s-2
43.0,,,,,,A3,21,1,normal,1
43.5,,,,,,A4;D4,24,5;1,normal;normal,5;1
43.75,,,,,,A#4,25,4,black_key_inner,4b-
44.0,,,,,,A#4;A#3;D4,23,5;1;2,splay_pinky;splay_thumb;normal,5s+1;1s-2;2
