start_time,midi,duration,white_key_index,is_black
0.0,65,1.5,26,0
0.0,77,1.5,33,0
0.0,58,1.5,21,1
0.0,60,1.5,23,0
0.0,62,1.5,24,0
1.5,64,0.5,25,0
1.5,76,0.5,32,0
1.5,55,0.5,20,0
1.5,58,0.5,21,1
1.5,60,0.5,23,0
2.0,64,1.0,25,0
2.0,76,1.0,32,0
2.0,55,1.0,20,0
2.0,58,1.0,21,1
2.0,60,1.0,23,0
3.0,64,0.5,25,0
3.0,76,0.5,32,0
3.0,55,1.0,20,0
3.0,57,1.0,21,0
3.0,61,1.0,23,1
3.5,77,0.5,33,0
4.0,79,1.5,34,0
4.0,57,0.75,21,0
4.0,62,0.75,24,0
4.0,65,0.75,26,0
4.75,60,0.25,23,0
5.0,60,0.5,23,0
5.5,65,0.5,26,0
5.5,77,0.5,33,0
5.5,55,0.5,20,0
5.5,59,0.5,22,0
5.5,62,0.5,24,0
6.0,65,1.0,26,0
6.0,77,1.0,33,0
6.0,55,2.0,20,0
6.0,59,2.0,22,0
6.0,62,2.0,24,0
7.0,74,0.5,31,0
7.5,76,0.5,32,0
8.0,70,0.5,28,1
8.0,77,0.5,33,0
8.0,43,0.5,13,0
8.5,74,0.5,31,0
8.5,50,0.5,17,0
9.0,70,0.5,28,1
9.0,56,1.0,20,1
9.0,58,1.0,21,1
9.0,62,1.0,24,0
9.5,77,0.5,33,0
10.0,72,0.5,30,0
10.0,79,0.5,34,0
10.0,45,0.5,14,0
10.5,76,0.5,32,0
10.5,52,0.5,18,0
11.0,64,0.5,25,0
11.0,72,0.5,30,0
11.0,55,1.0,20,0
11.0,60,1.0,23,0
11.5,76,0.5,32,0
12.0,70,0.5,28,1
12.0,77,0.5,33,0
12.0,46,0.5,14,1
12.5,73,0.5,30,1
12.5,53,0.5,19,0
13.0,67,0.5,27,0
13.0,70,0.5,28,1
13.0,58,1.0,21,1
13.0,61,1.0,23,1
13.5,73,0.5,30,1
14.0,72,2.0,30,0
14.0,77,2.0,33,0
14.0,48,2.0,16,0
14.0,58,2.0,21,1
16.0,72,1.5,30,0
16.0,76,1.5,32,0
16.0,48,2.0,16,0
16.0,58,2.0,21,1
17.5,69,0.25,28,0
17.75,72,0.25,30,0
18.0,72,1.5,30,0
18.0,53,0.5,19,0
18.5,60,0.5,23,0
19.0,65,1.0,26,0
19.5,69,0.5,28,0
20.0,69,1.5,28,0
20.0,65,2.0,26,0
21.5,69,0.25,28,0
21.75,72,0.25,30,0
22.0,73,0.75,30,1
22.0,45,0.5,14,0
22.5,52,0.5,18,0
22.75,74,0.25,31,0
23.0,76,0.75,32,0
23.0,57,0.5,21,0
23.5,61,0.5,23,1
23.5,64,0.5,25,0
23.75,69,0.25,28,0
24.0,82,0.75,35,1
24.0,61,2.0,23,1
24.0,64,2.0,25,0
24.75,81,0.25,35,0
25.0,79,0.75,34,0
25.75,76,0.25,32,0
26.0,77,2.0,33,0
26.0,50,0.5,17,0
26.5,57,0.5,21,0
27.0,62,0.5,24,0
27.5,65,0.5,26,0
27.5,69,0.5,28,0
28.0,77,1.5,33,0
28.0,65,2.0,26,0
28.0,69,2.0,28,0
29.5,77,0.25,33,0
29.75,77,0.25,33,0
30.0,76,0.75,32,0
30.0,45,0.5,14,0
30.5,52,0.5,18,0
30.75,74,0.25,31,0
31.0,72,0.75,30,0
31.0,60,0.5,23,0
31.5,64,0.5,25,0
31.75,69,0.25,28,0
32.0,74,0.75,31,0
32.0,64,2.0,25,0
32.75,72,0.25,30,0
33.0,72,0.75,30,0
33.75,70,0.25,28,1
34.0,72,2.0,30,0
34.0,46,0.5,14,1
34.5,53,0.5,19,0
35.0,60,0.5,23,0
35.5,62,0.5,24,0
35.5,65,0.5,26,0
36.0,72,1.5,30,0
36.0,62,2.0,24,0
36.0,65,2.0,26,0
37.5,72,0.25,30,0
37.75,69,0.25,28,0
38.0,70,0.75,28,1
38.0,46,0.5,14,1
38.5,53,1.0,19,0
38.75,69,0.25,28,0
39.0,61,0.75,23,1
39.0,67,0.75,27,0
39.5,55,0.5,20,0
39.75,65,0.25,26,0
40.0,61,0.75,23,1
40.0,58,2.0,21,1
40.75,67,0.25,27,0
41.0,67,0.75,27,0
41.75,65,0.25,26,0
42.0,58,1.5,21,1
42.0,62,1.5,24,0
42.0,69,1.5,28,0
42.0,43,0.5,13,0
42.5,50,0.5,17,0
43.0,57,0.5,21,0
43.5,58,0.25,21,1
43.5,62,0.25,24,0
43.5,69,0.25,28,0
43.5,58,0.5,21,1
43.5,62,0.5,24,0
43.75,70,0.25,28,1
44.0,70,0.75,28,1
44.0,58,2.0,21,1
44.0,62,2.0,24,0
44.75,72,0.25,30,0
45.0,72,0.75,30,0
45.75,74,0.25,31,0
46.0,67,0.75,27,0
46.0,72,0.75,30,0
46.0,45,0.5,14,0
46.5,55,0.5,20,0
46.75,77,0.25,33,0
47.0,77,0.75,33,0
47.0,60,0.5,23,0
47.5,64,0.5,25,0
47.5,67,0.5,27,0
47.75,79,0.25,34,0
48.0,79,0.75,34,0
48.0,64,2.0,25,0
48.0,67,2.0,27,0
48.75,77,0.25,33,0
49.0,76,1/3,32,0
148/3,77,1/3,33,0
149/3,77,1/3,33,0
50.0,74,0.75,31,0
50.0,81,0.75,35,0
50.0,46,0.5,14,1
50.5,53,0.5,19,0
50.75,79,0.25,34,0
51.0,74,1.0,31,0
51.0,60,1.0,23,0
51.0,62,1.0,24,0
51.0,65,1.0,26,0
52.0,74,0.75,31,0
52.0,47,0.5,15,0
52.5,57,0.5,21,0
52.75,74,0.25,31,0
53.0,76,1/3,32,0
53.0,59,1.0,22,0
53.0,62,1.0,24,0
53.0,65,1.0,26,0
160/3,77,1/3,33,0
161/3,77,1/3,33,0
54.0,77,1.0,33,0
54.0,48,0.5,16,0
54.5,55,0.5,20,0
55.0,58,1.0,21,1
55.0,60,1.0,23,0
55.0,65,1.0,26,0
55.25,76,0.25,32,0
55.5,74,0.25,31,0
55.75,76,0.25,32,0
56.0,64,1.0,25,0
56.0,69,1.0,28,0
56.0,49,0.5,16,1
56.5,57,0.5,21,0
57.0,61,0.75,23,1
57.0,64,0.75,25,0
57.0,69,0.75,28,0
57.0,73,0.75,30,1
57.0,45,1.0,14,0
57.75,81,0.25,35,0
