Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,,,,,,G4,27,1,normal,1
0.5,,,,,,G4,27,1,normal,1
1.0,,,,,,A4,27,2,normal,2
2.0,,,,,,G4,27,1,normal,1
3.0,,,,,,C5,27,4,normal,4
4.0,,,,,,B4,27,3,normal,3
6.0,,,,,,G4,27,1,normal,1
6.5,,,,,,G4,27,1,normal,1
7.0,,,,,,A4,27,2,normal,2
8.0,,,,,,G4,27,1,normal,1
9.0,,,,,,D5,27,5,normal,5
10.0,,,,,,C5,27,4,normal,4
12.0,,,,,,G4,27,1,normal,1
12.5,,,,,,G4,27,1,normal,1
13.0,,,,,,G5,30,5,normal,5
14.0,,,,,,E5,28,5,normal,5
15.0,,,,,,C5,28,3,normal,3
16.0,,,,,,B4,28,2,normal,2
17.0,,,,,,A4,28,1,normal,1
18.0,,,,,,F5,29,5,normal,5
18.5,,,,,,F5,29,5,normal,5
19.0,,,,,,E5,29,4,normal,4
20.0,,,,,,C5,29,2,normal,2
21.0,,,,,,D5,29,3,normal,3
22.0,,,,,,C5,29,2,normal,2
