Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,,,,,,G5,30,5,normal,5
1.0,,,,,,G4,27,1,normal,1
2.0,,,,,,C5,30,1,normal,1
4.0,,,,,,G5,30,5,normal,5
5.0,,,,,,G4,27,1,normal,1
6.0,,,,,,C5,30,1,normal,1
8.0,,,,,,G5,30,5,normal,5
8.5,,,,,,F5,30,4,normal,4
9.0,,,,,,E5,30,3,normal,3
9.5,,,,,,D5,30,2,normal,2
10.0,,,,,,C5,30,1,normal,1
10.5,,,,,,D5,30,2,normal,2
11.0,,,,,,E5,30,3,normal,3
11.5,,,,,,F5,30,4,normal,4
12.0,,,,,,G5,30,5,normal,5
13.0,,,,,,G4,27,1,normal,1
14.0,,,,,,C5,30,1,normal,1
16.0,,,,,,G5,30,5,normal,5
16.5,,,,,,G5,30,5,normal,5
17.0,,,,,,G5,30,5,normal,5
17.5,,,,,,G5,30,5,normal,5
18.0,,,,,,F5,30,4,normal,4
19.0,,,,,,F5,30,4,normal,4
20.0,,,,,,E5,30,3,normal,3
20.5,,,,,,E5,30,3,normal,3
21.0,,,,,,E5,30,3,normal,3
21.5,,,,,,E5,30,3,normal,3
22.0,,,,,,D5,30,2,normal,2
24.0,,,,,,G5,30,5,normal,5
24.5,,,,,,F5,30,4,normal,4
25.0,,,,,,E5,30,3,normal,3
25.5,,,,,,D5,30,2,normal,2
26.0,,,,,,C5,30,1,normal,1
26.5,,,,,,D5,30,2,normal,2
27.0,,,,,,E5,30,3,normal,3
27.5,,,,,,F5,30,4,normal,4
28.0,,,,,,G5,30,5,normal,5
29.0,,,,,,G4,27,1,normal,1
30.0,,,,,,C5,27,4,normal,4
