start_time,midi,duration,white_key_index,is_black
0.0,79,1.0,34,0
1.0,67,1.0,27,0
2.0,72,2.0,30,0
4.0,79,1.0,34,0
5.0,67,1.0,27,0
6.0,72,2.0,30,0
8.0,79,0.5,34,0
8.5,77,0.5,33,0
9.0,76,0.5,32,0
9.5,74,0.5,31,0
10.0,72,0.5,30,0
10.5,74,0.5,31,0
11.0,76,0.5,32,0
11.5,77,0.5,33,0
12.0,79,1.0,34,0
13.0,67,1.0,27,0
14.0,72,2.0,30,0
16.0,79,0.5,34,0
16.5,79,0.5,34,0
17.0,79,0.5,34,0
17.5,79,0.5,34,0
18.0,77,1.0,33,0
19.0,77,1.0,33,0
20.0,76,0.5,32,0
20.5,76,0.5,32,0
21.0,76,0.5,32,0
21.5,76,0.5,32,0
22.0,74,2.0,31,0
24.0,79,0.5,34,0
24.5,77,0.5,33,0
25.0,76,0.5,32,0
25.5,74,0.5,31,0
26.0,72,0.5,30,0
26.5,74,0.5,31,0
27.0,76,0.5,32,0
27.5,77,0.5,33,0
28.0,79,1.0,34,0
29.0,67,1.0,27,0
30.0,72,2.0,30,0
