Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,,,,,,A4,24,5,normal,5
0.75,,,,,,F4,24,3,normal,3
1.0,,,,,,D4,24,1,normal,1
2.0,,,,,,F4,26,1,normal,1
3.0,,,,,,A4,26,3,normal,3
4.0,,,,,,D5,29,3,normal,3
6.0,,,,,,F5,29,5,normal,5
6.75,,,,,,E5,29,4,normal,4
7.0,,,,,,D5,29,3,normal,3
8.0,,,,,,F4,26,1,normal,1
9.0,,,,,,G#4,26,2,black_key_inner,2b+
10.0,,,,,,A4,26,3,normal,3
12.0,,,,,,A4,26,3,normal,3
13.0,,,,,,F5,29,5,normal,5
14.5,,,,,,E5,29,4,normal,4
15.0,,,,,,D5,29,3,normal,3
16.0,,,,,,C5,29,2,normal,2
18.0,,,,,,B4,29,1,normal,1
18.5,,,,,,C5,29,2,normal,2
19.0,,,,,,D5,29,3,normal,3
20.0,,,,,,D5,29,3,normal,3
21.0,,,,,,A4,24,5,normal,5
22.0,,,,,,F4,24,3,normal,3
23.0,,,,,,D4,24,1,normal,1
25.0,,,,,,F5,31,3,normal,3
25.75,,,,,,F5,31,3,normal,3
28.0,,,,,,F5,31,3,normal,3
29.0,,,,,,G5,31,4,normal,4
30.0,,,,,,A5,31,5,normal,5
31.0,,,,,,A5,31,5,normal,5
33.0,,,,,,G5,31,4,normal,4
33.75,,,,,,F5,31,3,normal,3
34.0,,,,,,E5,31,2,normal,2
35.0,,,,,,F5,31,3,normal,3
36.0,,,,,,G5,31,4,normal,4
37.0,,,,,,G5,31,4,normal,4
39.0,,,,,,G5,31,4,normal,4
40.0,,,,,,F5,31,3,normal,3
41.5,,,,,,E5,31,2,normal,2
42.0,,,,,,D5,27,5,normal,5
43.0,,,,,,C5,27,4,normal,4
45.0,,,,,,B4,27,3,normal,3
45.75,,,,,,C5,27,4,normal,4
46.0,,,,,,D5,27,5,normal,5
47.0,,,,,,F4,26,1,normal,1
48.0,,,,,,G#4,26,2,black_key_inner,2b+
49.0,,,,,,A4,26,3,normal,3
51.0,,,,,,A4,26,3,normal,3
52.0,,,,,,D5,28,4,normal,4
53.0,,,,,,D5,28,4,normal,4
54.0,,,,,,D5,28,4,normal,4
54.5,,,,,,C5,28,3,normal,3
55.0,,,,,,B4,28,2,normal,2
56.0,,,,,,B4,28,2,normal,2
57.0,,,,,,B4,28,2,normal,2
58.0,,,,,,E5,28,5,normal,5
59.0,,,,,,G5,30,5,normal,5
59.5,,,,,,F5,30,4,normal,4
60.0,,,,,,E5,28,5,normal,5
60.5,,,,,,D5,28,4,normal,4
61.0,,,,,,D5,28,4,normal,4
62.0,,,,,,C5,28,3,normal,3
63.0,,,,,,A4,28,1,normal,1
63.75,,,,,,A4,28,1,normal,1
64.0,,,,,,D5,28,4,normal,4
65.5,,,,,,E5,28,5,normal,5
66.0,,,,,,F5,31,3,normal,3
66.5,,,,,,G5,31,4,normal,4
67.0,,,,,,A5,31,5,normal,5
69.0,,,,,,D5,31,1,normal,1
69.75,,,,,,E5,31,2,normal,2
70.0,,,,,,F5,31,3,normal,3
71.5,,,,,,G5,31,4,normal,4
72.0,,,,,,E5,31,2,normal,2
73.0,,,,,,D5,31,1,normal,1
