Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,,,,,,C4,23,1,normal,1
1.0,,,,,,C4,23,1,normal,1
2.0,,,,,,G4,23,5,normal,5
3.0,,,,,,G4,23,5,normal,5
4.0,,,,,,A4,24,5,normal,5
5.0,,,,,,A4,24,5,normal,5
6.0,,,,,,G4,23,5,normal,5
8.0,,,,,,F4,23,4,normal,4
9.0,,,,,,F4,23,4,normal,4
10.0,,,,,,E4,23,3,normal,3
11.0,,,,,,E4,23,3,normal,3
12.0,,,,,,D4,23,2,normal,2
13.0,,,,,,D4,23,2,normal,2
14.0,,,,,,C4,23,1,normal,1
16.0,,,,,,G4,23,5,normal,5
17.0,,,,,,G4,23,5,normal,5
18.0,,,,,,F4,23,4,normal,4
19.0,,,,,,F4,23,4,normal,4
20.0,,,,,,E4,23,3,normal,3
21.0,,,,,,E4,23,3,normal,3
22.0,,,,,,D4,23,2,normal,2
24.0,,,,,,G4,23,5,normal,5
25.0,,,,,,G4,23,5,normal,5
26.0,,,,,,F4,23,4,normal,4
27.0,,,,,,F4,23,4,normal,4
28.0,,,,,,E4,23,3,normal,3
29.0,,,,,,E4,23,3,normal,3
30.0,,,,,,D4,23,2,normal,2
32.0,,,,,,C4,23,1,normal,1
33.0,,,,,,C4,23,1,normal,1
34.0,,,,,,G4,23,5,normal,5
35.0,,,,,,G4,23,5,normal,5
36.0,,,,,,A4,24,5,normal,5
37.0,,,,,,A4,24,5,normal,5
38.0,,,,,,G4,23,5,normal,5
40.0,,,,,,F4,23,4,normal,4
41.0,,,,,,F4,23,4,normal,4
42.0,,,,,,E4,23,3,normal,3
43.0,,,,,,E4,23,3,normal,3
44.0,,,,,,D4,23,2,normal,2
45.0,,,,,,D4,23,2,normal,2
46.0,,,,,,C4,23,1,normal,1
