start_time,midi,duration,white_key_index,is_black
0.0,60,1.0,23,0
1.0,60,1.0,23,0
2.0,67,1.0,27,0
3.0,67,1.0,27,0
4.0,69,1.0,28,0
5.0,69,1.0,28,0
6.0,67,2.0,27,0
8.0,65,1.0,26,0
9.0,65,1.0,26,0
10.0,64,1.0,25,0
11.0,64,1.0,25,0
12.0,62,1.0,24,0
13.0,62,1.0,24,0
14.0,60,2.0,23,0
16.0,67,1.0,27,0
17.0,67,1.0,27,0
18.0,65,1.0,26,0
19.0,65,1.0,26,0
20.0,64,1.0,25,0
21.0,64,1.0,25,0
22.0,62,2.0,24,0
24.0,67,1.0,27,0
25.0,67,1.0,27,0
26.0,65,1.0,26,0
27.0,65,1.0,26,0
28.0,64,1.0,25,0
29.0,64,1.0,25,0
30.0,62,2.0,24,0
32.0,60,1.0,23,0
33.0,60,1.0,23,0
34.0,67,1.0,27,0
35.0,67,1.0,27,0
36.0,69,1.0,28,0
37.0,69,1.0,28,0
38.0,67,2.0,27,0
40.0,65,1.0,26,0
41.0,65,1.0,26,0
42.0,64,1.0,25,0
43.0,64,1.0,25,0
44.0,62,1.0,24,0
45.0,62,1.0,24,0
46.0,60,2.0,23,0
