Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,A4,28,1,normal,1,,,,,
0.75,F4,28,3,normal,3,,,,,
1.0,D4,28,5,normal,5,,,,,
2.0,F4,30,5,normal,5,,,,,
3.0,A4,30,3,normal,3,,,,,
4.0,D5,33,3,normal,3,,,,,
6.0,F5,33,1,normal,1,,,,,
6.75,E5,33,2,normal,2,,,,,
7.0,D5,33,3,normal,3,,,,,
8.0,F4,30,5,normal,5,,,,,
9.0,G#4,30,4,black_key_inner,4b+,,,,,
10.0,A4,30,3,normal,3,,,,,
12.0,A4,30,3,normal,3,,,,,
13.0,F5,33,1,normal,1,,,,,
14.5,E5,33,2,normal,2,,,,,
15.0,D5,33,3,normal,3,,,,,
16.0,C5,33,4,normal,4,,,,,
18.0,B4,33,5,normal,5,,,,,
18.5,C5,33,4,normal,4,,,,,
19.0,D5,33,3,normal,3,,,,,
20.0,D5,33,3,normal,3,,,,,
21.0,A4,28,1,normal,1,,,,,
22.0,F4,28,3,normal,3,,,,,
23.0,D4,28,5,normal,5,,,,,
25.0,F5,35,3,normal,3,,,,,
25.75,F5,35,3,normal,3,,,,,
28.0,F5,35,3,normal,3,,,,,
29.0,G5,35,2,normal,2,,,,,
30.0,A5,35,1,normal,1,,,,,
31.0,A5,35,1,normal,1,,,,,
33.0,G5,35,2,normal,2,,,,,
33.75,F5,35,3,normal,3,,,,,
34.0,E5,35,4,normal,4,,,,,
35.0,F5,35,3,normal,3,,,,,
36.0,G5,35,2,normal,2,,,,,
37.0,G5,35,2,normal,2,,,,,
39.0,G5,35,2,normal,2,,,,,
40.0,F5,35,3,normal,3,,,,,
41.5,E5,35,4,normal,4,,,,,
42.0,D5,31,1,normal,1,,,,,
43.0,C5,31,2,normal,2,,,,,
45.0,B4,31,3,normal,3,,,,,
45.75,C5,31,2,normal,2,,,,,
46.0,D5,31,1,normal,1,,,,,
47.0,F4,30,5,normal,5,,,,,
48.0,G#4,30,4,black_key_inner,4b+,,,,,
49.0,A4,30,3,normal,3,,,,,
51.0,A4,30,3,normal,3,,,,,
52.0,D5,32,2,normal,2,,,,,
53.0,D5,32,2,normal,2,,,,,
54.0,D5,32,2,normal,2,,,,,
54.5,C5,32,3,normal,3,,,,,
55.0,B4,32,4,normal,4,,,,,
56.0,B4,32,4,normal,4,,,,,
57.0,B4,32,4,normal,4,,,,,
58.0,E5,32,1,normal,1,,,,,
59.0,G5,34,1,normal,1,,,,,
59.5,F5,34,2,normal,2,,,,,
60.0,E5,32,1,normal,1,,,,,
60.5,D5,32,2,normal,2,,,,,
61.0,D5,32,2,normal,2,,,,,
62.0,C5,32,3,normal,3,,,,,
63.0,A4,32,5,normal,5,,,,,
63.75,A4,32,5,normal,5,,,,,
64.0,D5,32,2,normal,2,,,,,
65.5,E5,32,1,normal,1,,,,,
66.0,F5,35,3,normal,3,,,,,
66.5,G5,35,2,normal,2,,,,,
67.0,A5,35,1,normal,1,,,,,
69.0,D5,35,5,normal,5,,,,,
69.75,E5,35,4,normal,4,,,,,
70.0,F5,35,3,normal,3,,,,,
71.5,G5,35,2,normal,2,,,,,
72.0,E5,35,4,normal,4,,,,,
73.0,D5,35,5,normal,5,,,,,
