Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,G4,31,5,normal,5,,,,,
0.5,G4,31,5,normal,5,,,,,
1.0,A4,31,4,normal,4,,,,,
2.0,G4,31,5,normal,5,,,,,
3.0,C5,31,2,normal,2,,,,,
4.0,B4,31,3,normal,3,,,,,
6.0,G4,31,5,normal,5,,,,,
6.5,G4,31,5,normal,5,,,,,
7.0,A4,31,4,normal,4,,,,,
8.0,G4,31,5,normal,5,,,,,
9.0,D5,31,1,normal,1,,,,,
10.0,C5,31,2,normal,2,,,,,
12.0,G4,31,5,normal,5,,,,,
12.5,G4,31,5,normal,5,,,,,
13.0,G5,34,1,normal,1,,,,,
14.0,E5,32,1,normal,1,,,,,
15.0,C5,32,3,normal,3,,,,,
16.0,B4,32,4,normal,4,,,,,
17.0,A4,32,5,normal,5,,,,,
18.0,F5,33,1,normal,1,,,,,
18.5,F5,33,1,normal,1,,,,,
19.0,E5,33,2,normal,2,,,,,
20.0,C5,33,4,normal,4,,,,,
21.0,D5,33,3,normal,3,,,,,
22.0,C5,33,4,normal,4,,,,,
