Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,G5,34,1,normal,1,,,,,
1.0,G4,31,5,normal,5,,,,,
2.0,C5,34,5,normal,5,,,,,
4.0,G5,34,1,normal,1,,,,,
5.0,G4,31,5,normal,5,,,,,
6.0,C5,34,5,normal,5,,,,,
8.0,G5,34,1,normal,1,,,,,
8.5,F5,34,2,normal,2,,,,,
9.0,E5,34,3,normal,3,,,,,
9.5,D5,34,4,normal,4,,,,,
10.0,C5,34,5,normal,5,,,,,
10.5,D5,34,4,normal,4,,,,,
11.0,E5,34,3,normal,3,,,,,
11.5,F5,34,2,normal,2,,,,,
12.0,G5,34,1,normal,1,,,,,
13.0,G4,31,5,normal,5,,,,,
14.0,C5,34,5,normal,5,,,,,
16.0,G5,34,1,normal,1,,,,,
16.5,G5,34,1,normal,1,,,,,
17.0,G5,34,1,normal,1,,,,,
17.5,G5,34,1,normal,1,,,,,
18.0,F5,34,2,normal,2,,,,,
19.0,F5,34,2,normal,2,,,,,
20.0,E5,34,3,normal,3,,,,,
20.5,E5,34,3,normal,3,,,,,
21.0,E5,34,3,normal,3,,,,,
21.5,E5,34,3,normal,3,,,,,
22.0,D5,34,4,normal,4,,,,,
24.0,G5,34,1,normal,1,,,,,
24.5,F5,34,2,normal,2,,,,,
25.0,E5,34,3,normal,3,,,,,
25.5,D5,34,4,normal,4,,,,,
26.0,C5,34,5,normal,5,,,,,
26.5,D5,34,4,normal,4,,,,,
27.0,E5,34,3,normal,3,,,,,
27.5,F5,34,2,normal,2,,,,,
28.0,G5,34,1,normal,1,,,,,
29.0,G4,31,5,normal,5,,,,,
30.0,C5,31,2,normal,2,,,,,
