start_time,midi,duration,white_key_index,is_black
0.0,69,0.75,28,0
0.75,65,0.25,26,0
1.0,62,1.0,24,0
2.0,65,1.0,26,0
3.0,69,1.0,28,0
4.0,74,2.0,31,0
6.0,77,0.75,33,0
6.75,76,0.25,32,0
7.0,74,1.0,31,0
8.0,65,1.0,26,0
9.0,68,1.0,27,1
10.0,69,2.0,28,0
12.0,69,1.0,28,0
13.0,77,1.5,33,0
14.5,76,0.5,32,0
15.0,74,1.0,31,0
16.0,72,2.0,30,0
18.0,71,0.5,29,0
18.5,72,0.5,30,0
19.0,74,1.0,31,0
20.0,74,1.0,31,0
21.0,69,1.0,28,0
22.0,65,1.0,26,0
23.0,62,1.0,24,0
25.0,77,0.75,33,0
25.75,77,0.25,33,0
28.0,77,1.0,33,0
29.0,79,1.0,34,0
30.0,81,1.0,35,0
31.0,81,2.0,35,0
33.0,79,0.75,34,0
33.75,77,0.25,33,0
34.0,76,1.0,32,0
35.0,77,1.0,33,0
36.0,79,1.0,34,0
37.0,79,2.0,34,0
39.0,79,1.0,34,0
40.0,77,1.5,33,0
41.5,76,0.5,32,0
42.0,74,1.0,31,0
43.0,72,2.0,30,0
45.0,71,0.75,29,0
45.75,72,0.25,30,0
46.0,74,1.0,31,0
47.0,65,1.0,26,0
48.0,68,1.0,27,1
49.0,69,2.0,28,0
51.0,69,1.0,28,0
52.0,74,1.0,31,0
53.0,74,1.0,31,0
54.0,74,0.5,31,0
54.5,72,0.5,30,0
55.0,71,1.0,29,0
56.0,71,1.0,29,0
57.0,71,1.0,29,0
58.0,76,1.0,32,0
59.0,79,0.5,34,0
59.5,77,0.5,33,0
60.0,76,0.5,32,0
60.5,74,0.5,31,0
61.0,74,1.0,31,0
62.0,72,1.0,30,0
63.0,69,0.75,28,0
63.75,69,0.25,28,0
64.0,74,1.5,31,0
65.5,76,0.5,32,0
66.0,77,0.5,33,0
66.5,79,0.5,34,0
67.0,81,2.0,35,0
69.0,74,0.75,31,0
69.75,76,0.25,32,0
70.0,77,1.5,33,0
71.5,79,0.5,34,0
72.0,76,1.0,32,0
73.0,74,3.0,31,0
