Time,L_Notes,L_Thumb,L_Fingers,L_Techniques,L_Commands,R_Notes,R_Thumb,R_Fingers,R_Techniques,R_Commands
0.0,C4,27,5,normal,5,,,,,
1.0,C4,27,5,normal,5,,,,,
2.0,G4,27,1,normal,1,,,,,
3.0,G4,27,1,normal,1,,,,,
4.0,A4,28,1,normal,1,,,,,
5.0,A4,28,1,normal,1,,,,,
6.0,G4,27,1,normal,1,,,,,
8.0,F4,27,2,normal,2,,,,,
9.0,F4,27,2,normal,2,,,,,
10.0,E4,27,3,normal,3,,,,,
11.0,E4,27,3,normal,3,,,,,
12.0,D4,27,4,normal,4,,,,,
13.0,D4,27,4,normal,4,,,,,
14.0,C4,27,5,normal,5,,,,,
16.0,G4,27,1,normal,1,,,,,
17.0,G4,27,1,normal,1,,,,,
18.0,F4,27,2,normal,2,,,,,
19.0,F4,27,2,normal,2,,,,,
20.0,E4,27,3,normal,3,,,,,
21.0,E4,27,3,normal,3,,,,,
22.0,D4,27,4,normal,4,,,,,
24.0,G4,27,1,normal,1,,,,,
25.0,G4,27,1,normal,1,,,,,
26.0,F4,27,2,normal,2,,,,,
27.0,F4,27,2,normal,2,,,,,
28.0,E4,27,3,normal,3,,,,,
29.0,E4,27,3,normal,3,,,,,
30.0,D4,27,4,normal,4,,,,,
32.0,C4,27,5,normal,5,,,,,
33.0,C4,27,5,normal,5,,,,,
34.0,G4,27,1,normal,1,,,,,
35.0,G4,27,1,normal,1,,,,,
36.0,A4,28,1,normal,1,,,,,
37.0,A4,28,1,normal,1,,,,,
38.0,G4,27,1,normal,1,,,,,
40.0,F4,27,2,normal,2,,,,,
41.0,F4,27,2,normal,2,,,,,
42.0,E4,27,3,normal,3,,,,,
43.0,E4,27,3,normal,3,,,,,
44.0,D4,27,4,normal,4,,,,,
45.0,D4,27,4,normal,4,,,,,
46.0,C4,27,5,normal,5,,,,,
