start_time,midi,duration,white_key_index
0.0,60,1.0,23
1.0,60,1.0,23
2.0,67,1.0,27
3.0,67,1.0,27
4.0,69,1.0,28
5.0,69,1.0,28
6.0,67,2.0,27
8.0,65,1.0,26
9.0,65,1.0,26
10.0,64,1.0,25
11.0,64,1.0,25
12.0,62,1.0,24
13.0,62,1.0,24
14.0,60,2.0,23
16.0,67,1.0,27
17.0,67,1.0,27
18.0,65,1.0,26
19.0,65,1.0,26
20.0,64,1.0,25
21.0,64,1.0,25
22.0,62,2.0,24
24.0,67,1.0,27
25.0,67,1.0,27
26.0,65,1.0,26
27.0,65,1.0,26
28.0,64,1.0,25
29.0,64,1.0,25
30.0,62,2.0,24
32.0,60,1.0,23
33.0,60,1.0,23
34.0,67,1.0,27
35.0,67,1.0,27
36.0,69,1.0,28
37.0,69,1.0,28
38.0,67,2.0,27
40.0,65,1.0,26
41.0,65,1.0,26
42.0,64,1.0,25
43.0,64,1.0,25
44.0,62,1.0,24
45.0,62,1.0,24
46.0,60,2.0,23
